# ra_detected 	 dec_detected
1.356284	-0.153168
-2.815400	-0.142066
-1.579406	-0.030138
-2.467873	-0.166628
2.556639	-0.123954
-2.483347	-0.146411
-1.280500	-0.150715
-2.646620	-0.165268
-2.421105	-0.164177
0.732828	-0.107980
-2.988857	-0.066137
2.477438	-0.066188
2.304094	-0.144677
-0.546530	0.004898
-1.017900	-0.116817
1.503249	-0.132292
0.926005	-0.127861
0.510444	-0.058883
-1.437071	-0.157065
-2.755876	0.003725
1.729413	-0.037868
2.100039	-0.022488
1.522120	-0.041378
2.208685	-0.163495
-2.166870	-0.006557
2.339781	-0.140413
2.261243	0.034033
1.207071	0.051252
1.197547	-0.156131
2.114404	-0.100935
-0.026737	0.020717
2.886549	-0.053866
-2.070498	-0.088393
-1.951276	-0.181613
-2.974631	-0.028334
-2.492591	-0.122552
0.890744	-0.155310
-1.298979	0.000573
1.797601	-0.044998
0.265740	0.013249
0.798696	-0.112329
3.139583	-0.118849
2.044241	-0.195233
-0.377469	-0.081269
-3.115371	-0.131242
-0.664050	-0.194909
0.388536	-0.187134
2.607115	-0.160530
1.316088	-0.144520
0.967669	-0.052011
1.481314	-0.101703
2.698035	-0.115998
2.843256	-0.177801
2.434395	-0.134580
2.976820	0.031944
-0.119266	-0.026530
1.428734	-0.014860
2.381151	-0.060516
-1.498257	-0.017878
-1.348329	-0.025246
0.445650	-0.210532
2.467466	0.010317
-2.580195	-0.106526
2.817021	-0.168689
-2.543876	-0.024007
-1.949234	-0.150017
1.479887	-0.031116
-2.149126	-0.063694
-0.908381	0.047657
-0.537513	-0.152479
-0.201054	-0.202743
2.133336	-0.063167
-0.507318	-0.013970
1.138559	-0.099025
-1.522168	0.047671
-2.599758	-0.088100
1.023796	0.023983
2.600034	-0.172460
1.528094	-0.020184
-0.460385	0.051009
1.728238	-0.119359
0.904271	-0.140831
1.110156	-0.093473
1.966951	-0.150155
-0.082337	-0.142861
0.958054	-0.189859
-3.139999	-0.105965
3.059203	-0.185672
-1.619126	-0.068937
-0.352992	-0.190046
-2.434842	-0.045565
-0.383454	-0.070925
1.142182	-0.170267
1.084723	-0.114674
2.757916	-0.101629
-2.302607	-0.152757
0.761076	-0.104810
2.805154	-0.054328
1.079953	-0.140219
0.874416	-0.085606
1.250152	0.058973
0.808575	-0.084657
-0.613811	-0.071348
2.894056	0.017372
2.513849	0.060147
1.005669	-0.065624
1.875330	0.042975
0.048012	0.006872
1.323697	-0.089150
0.294270	-0.172049
-2.113260	-0.161511
-1.874040	-0.089872
0.868376	-0.157999
-1.201806	0.028124
2.040398	-0.001776
-0.452068	0.054799
-0.603942	-0.070159
0.767392	-0.136410
1.421184	-0.195994
1.200337	0.008584
0.165378	-0.157188
0.011943	-0.199221
0.565970	0.031276
-1.250749	0.022856
-0.206099	-0.039971
1.826924	0.059236
2.048058	-0.013412
-2.467977	0.042255
-0.651857	-0.060717
0.887024	0.049984
1.777645	-0.118859
0.733198	-0.195942
0.437516	-0.174700
0.048065	0.058191
3.091679	-0.109190
1.824412	-0.084414
0.337822	-0.213808
-3.067076	-0.202954
-2.332830	-0.106318
-0.763743	-0.152945
-2.624813	-0.090243
-1.228672	-0.071421
2.528063	-0.109713
-0.031885	-0.094125
0.342404	0.040626
-1.410829	-0.034383
2.296347	-0.161220
1.049664	-0.192342
0.228646	-0.009766
1.750838	-0.104463
0.837878	0.015485
-2.847268	-0.198726
0.043745	0.009336
-0.013364	-0.178639
2.252924	-0.186876
1.295128	-0.165182
2.603755	-0.128671
1.029615	0.036750
3.126294	0.061899
1.537571	-0.199564
0.556953	-0.012183
-0.986463	-0.096321
-0.241137	-0.201968
0.411370	-0.002132
0.087148	-0.152772
2.910517	0.002121
2.068318	-0.053638
-1.717066	-0.000874
0.125195	-0.059498
-0.178532	0.020886
-0.752585	-0.201344
-0.658950	0.052891
2.529313	0.027921
-2.265384	-0.061625
1.718779	-0.086260
-1.299530	-0.065066
2.750893	-0.004321
0.324140	-0.049786
3.064852	-0.201259
-2.759380	-0.126163
-0.115743	-0.099364
-0.806598	-0.114577
-1.929574	-0.171659
-1.267212	0.011709
-0.456334	0.047439
2.258381	-0.061198
2.406005	-0.079588
0.192357	-0.205360
1.734131	-0.065452
-0.656493	-0.040283
0.002870	-0.167411
0.147356	-0.150788
0.035757	-0.103026
1.939966	0.043278
0.229323	0.015110
-1.183623	-0.202714
0.624633	-0.149563
1.329745	0.000530
-2.568293	-0.098675
-0.668058	-0.032441
-0.508896	0.043785
-2.849124	-0.123972
0.739473	-0.190598
2.355055	-0.071708
0.391136	0.024136
1.477919	-0.115829
1.995794	-0.152315
0.015300	-0.127928
-1.667099	-0.059123
0.713879	-0.183106
-1.382462	-0.206122
1.936204	-0.047578
2.789831	-0.136776
0.250931	-0.143682
-1.733421	-0.111981
-0.941698	-0.062022
-0.619177	-0.164146
1.444252	0.026346
-0.191553	-0.014437
0.930790	-0.156469
-0.438815	-0.045599
-0.397881	-0.106541
-0.856900	-0.169095
-2.574758	0.018254
-0.666553	0.050842
0.863535	-0.030442
-0.763919	-0.063560
-0.307138	-0.064590
3.114655	-0.162666
-2.866195	-0.131407
-1.127566	-0.200303
0.883099	-0.129968
-0.885645	0.057047
-1.181909	0.031615
3.002575	-0.161545
-1.614866	-0.147276
0.623434	-0.166689
